word,pos,audit_cefr,oxford_badge,reason,audit_def
shunned,verb,UNCLASSIFIED,,word not in oxford,"persistently avoided, ignored, or rejected"
skimp,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to try to spend less time, money, etc. on something than is really needed"
skyrocket,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to rise quickly to a very high level"
slumber,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"sleep; a time when somebody is sleeping"
soullessly,verb,UNCLASSIFIED,,word not in oxford,"in a way that shows no human influence, sensitivity, or character."
stationary,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"not moving; not intended to be moved|not changing in condition or quantity"
sterile,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"not able to produce children or young animals|completely clean and free from bacteria|not producing any useful result"
subconscious,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"connected with feelings that influence your behaviour even though you are not aware of them"
subconscious,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"connected with feelings that influence your behaviour even though you are not aware of them"
subordinate,adjective, noun, verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"having less power or authority than somebody else in a group or an organization ; less important than something else|a person who has a position with less authority and power than somebody else in an "
supercharged,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"powerful because it is supplied with air or fuel at a pressure that is higher than normal|stronger, more powerful or more effective than usual"
superficially,adverb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"in a way that appears to be true, real or important until you look at it more carefully|not carefully or completely; in a way that only considers what is obvious|not seriously or to a great degree; in"
susceptible,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"very likely to be influenced, harmed or affected by something|easily influenced by feelings and emotions|allowing something; capable of something"
synapse,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"a connection between two nerve cells"
sync,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to happen at the same time or to move at the same speed as something; to make something do this|to link data files between one computer or mobile device and another so that the information in the file"
tangible,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"that can be clearly seen to exist|that you can touch or feel"
teem,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to fall heavily"
temporal,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"connected with the real physical world, not spiritual matters|connected with or limited by time|near the temple(s) at the side of the head"
thermodynamics,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"the science that deals with the relations between heat and other forms of energy"
trample,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to step heavily on somebody/something so that you damage or harm them/it with your feet|to ignore somebody’s feelings or rights and treat them as if they are not important"
transcribe,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to record thoughts, speech or data in a written form, or in a different written form from the original|to show the sounds of speech using a special phonetic alphabet|to write a piece of music in a dif"
traverse,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to cross an area of land or water"
tread,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to put your foot down while you are stepping or walking ; to move, push or press something with your feet ; to walk somewhere"
trivial,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"not important or serious; not worth considering"
unavoidable,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"impossible to avoid or prevent"
unconstitutional,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"not allowed by the constitution of a country, a political system or an organization"
undetectable,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"impossible to see or find"
unfairness,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"the fact of not being right or fair according to a set of rules or principles; the fact of not treating people equally"
unfathomable,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"too strange or difficult to be understood|if somebody has an unfathomable expression, it is impossible to know what they are thinking"
unfiltered,adjective,UNCLASSIFIED,,word not in oxford,"not having had anything removed or changed"
unfounded,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"not based on reason or fact"
uninhabitable,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"not fit to live in; impossible to live in"
unsettling,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"making you feel upset, nervous or worried"
untethered,adjective,UNCLASSIFIED,,word not in oxford,"not tied or limited to a particular thing."
utmost,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"greatest; most extreme"
vertebrae,noun,UNCLASSIFIED,,word not in oxford,"The small bones that form the spine (backbone)."
wellbeing,noun,UNCLASSIFIED,,word not in oxford,"general health and happiness"
wreak,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to do great damage or harm to somebody/something"
zigzagging,verb,UNCLASSIFIED,,word not in oxford,"moving by going from side to side, or changing direction frequently"
